""	"logFC"	"Fold Change"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"Characteristics.disease.staging."	"Characteristics.organism.part."	"Assay.Name"
"ILMN_1770339"	-0.279741614359892	-1.21397744244041	10.5724241861075	-5.07458458251243	9.59144464680007e-07	0.000240329960465161	NA	NA	NA
"ILMN_1701731"	-0.321371076578582	-1.24951747356886	10.8248939592779	-5.07411482189304	9.61219829501008e-07	0.000240329960465161	NA	NA	NA
"ILMN_1756898"	-0.301000785857939	-1.23199874453403	9.88535381553023	-5.07344651228952	9.64179881058389e-07	0.000240329960465161	NA	NA	NA
"ILMN_1749297"	-0.243707789206974	-1.18403176774705	10.83956260655	-5.05956040374423	1.02772396724685e-06	0.000250784745291877	NA	NA	NA
"ILMN_1664587"	0.307683703034739	1.23771890316382	10.6083099180461	5.05934670278149	1.02873295264879e-06	0.000250784745291877	NA	NA	NA
"ILMN_1679800"	-0.290174525324975	-1.22278819155664	10.6577873803562	-5.04899385345733	1.07878204845431e-06	0.000260127184379461	NA	NA	NA
"ILMN_1655068"	0.632740148863067	1.55050711782404	7.41721590840198	5.04380516679174	1.1047468082826e-06	0.000262634392404379	NA	NA	NA
"ILMN_1699703"	-0.301195258021109	-1.23216482648682	11.6007923104962	-5.04055670670551	1.12131002101791e-06	0.000262634392404379	NA	NA	NA
"ILMN_1671583"	0.224323707452677	1.1682294889288	13.4609648375732	5.03936049811559	1.12746972667067e-06	0.000262634392404379	NA	NA	NA
"ILMN_1673711"	-0.274707157038751	-1.20974850558436	12.3422642858842	-5.03761143371752	1.13653541610261e-06	0.000262634392404379	NA	NA	NA
"ILMN_1690125"	0.549123623579933	1.46319659567715	8.32615428462359	5.03365090534539	1.15732563336614e-06	0.000264681565470046	NA	NA	NA
"ILMN_1654543"	0.254186729249027	1.19266322975967	11.2979604394642	5.02431269126632	1.20781627801925e-06	0.000270983073356075	NA	NA	NA
"ILMN_1749403"	0.767482250175218	1.70229639112845	11.2287615512422	5.02404230457605	1.20930960432075e-06	0.000270983073356075	NA	NA	NA
"ILMN_1748883"	0.425633330038228	1.34316200931688	11.8154054981904	5.0216287097825	1.22271930241678e-06	0.000271248050048139	NA	NA	NA
"ILMN_1790834"	-0.285002418431551	-1.21841230613338	10.8495252880826	-5.00891115366202	1.29579370598055e-06	0.000284612748252203	NA	NA	NA
"ILMN_1783709"	-0.313158134497276	-1.24242445706345	10.9884741576881	-5.00535949416412	1.31694668548493e-06	0.000285422370319696	NA	NA	NA
"ILMN_1654946"	-0.479330842382193	-1.39409689977004	10.9034082663572	-5.00398672209251	1.32521205115979e-06	0.000285422370319696	NA	NA	NA
"ILMN_1812478"	-0.2970005331456	-1.22858743446805	11.9389582271269	-5.0009791892879	1.34349640985036e-06	0.000286578118808851	NA	NA	NA
"ILMN_1789596"	0.327289126919706	1.25465362133443	10.8609576951258	4.9933657312853	1.39088283475504e-06	0.00029386042672577	NA	NA	NA
"ILMN_1688853"	-0.582941748866118	-1.49790045306194	8.80910058017605	-4.98937835070704	1.41634302628534e-06	0.000296416544293529	NA	NA	NA
"ILMN_1666976"	0.428829896581363	1.34614134082939	10.7662323947493	4.97894043712365	1.48514935571264e-06	0.00030791171315074	NA	NA	NA
"ILMN_1698220"	0.426928603400231	1.34436846192692	10.2371720356325	4.95800964456141	1.63302200347207e-06	0.000335434815972449	NA	NA	NA
"ILMN_1802096"	0.477899885829233	1.39271483146429	11.4250807922296	4.95381678533297	1.66431358153253e-06	0.000338725986171721	NA	NA	NA
"ILMN_1801304"	-0.47989538319584	-1.39464253039961	7.99408827242168	-4.9513060335233	1.68332881581843e-06	0.000339481513182873	NA	NA	NA
"ILMN_1725312"	0.298513657454007	1.22987667486839	11.0326884657593	4.94747430519804	1.71275493240127e-06	0.000342304102886395	NA	NA	NA
"ILMN_1655011"	-0.459844592066489	-1.37539365197014	9.2657010829776	-4.94302603390432	1.74754126805391e-06	0.000346137995450963	NA	NA	NA
"ILMN_1714546"	0.448503599035456	1.3646240986984	12.182838454536	4.93969505441707	1.77403742887456e-06	0.000348276516125249	NA	NA	NA
"ILMN_1756360"	-0.385014669337313	-1.30587306515154	14.8745780215462	-4.93186901671975	1.83782998268373e-06	0.00035430085008675	NA	NA	NA
"ILMN_1781094"	-0.414853706376147	-1.33316348344287	13.0540060443768	-4.93011630248557	1.8524185708065e-06	0.00035430085008675	NA	NA	NA
"ILMN_1656931"	-0.449376916570186	-1.36545040702989	11.5032126448277	-4.9300901647498	1.85263697304647e-06	0.00035430085008675	NA	NA	NA
"ILMN_1803775"	-0.487574890948017	-1.4020860466892	11.3411697971494	-4.92804407185518	1.86981138864981e-06	0.000354529024323139	NA	NA	NA
"ILMN_1797793"	0.653959547404514	1.57348077031322	8.16155445877888	4.91737049942049	1.96193357204573e-06	0.000368843511544598	NA	NA	NA
"ILMN_1725686"	0.271999104582517	1.20747984205653	5.39354385674257	4.91051861543061	2.0233721277464e-06	0.000377197372117026	NA	NA	NA
